years_bp,gisp2_temp_c,epica_co2_ppm,solar_delta_14c,geomagnetic_vadm,global_sea_level_anomaly_m
1230,-32.1469,278.8937931034483,-7.2,8.144,7.3681205124491225
1240,-32.068044444444446,277.89724137931034,-5.7,8.114,7.352054681599999
1250,-31.990933333333334,277.18437500000005,-8.6,8.172,7.335926315789473
1260,-31.917299999999997,277.60625,-6.7,8.134,7.319735578049122
1270,-31.90136,278.028125,-7.6,8.152,7.3034826314105254
1280,-31.85857777777778,278.45,-9.2,8.184,7.287167638905263
1290,-31.78,278.7954545454545,-12.3,8.246,7.270790763564911
1300,-31.763866666666665,279.1409090909091,-16.3,8.326,7.254352168421052
1310,-31.7537,279.4863636363636,-20.1,8.402,7.237852016505262
1320,-31.8148,279.04272727272723,-21.0,8.42,7.221290470849123
1330,-31.86885,278.2609090909091,-18.1,8.362,7.204667694484209
1340,-31.773733333333332,277.6090625,-16.5,8.33,7.187983850442105
1350,-31.64936,277.08718749999997,-19.5,8.39,7.171239101754386
1360,-31.520711111111112,276.5653125,-20.7,8.414,7.154433611452631
1370,-31.3754,276.4712,-20.3,8.406,7.13756754256842
1380,-31.329024999999998,277.3752,-20.8,8.416,7.120641058133333
1390,-31.312675,278.2792,-21.8,8.436,7.103654321178948
1400,-31.296325,276.5735294117647,-21.7,8.434,7.086607494736842
1410,-31.279975,276.6411764705882,-24.0,8.48,7.0695007418385964
1420,-31.263624999999998,276.7088235294118,-26.5,8.53,7.052334225515789
1430,-31.247275,276.7764705882353,-26.0,8.52,7.035108108799999
1440,-31.230925,276.87827586206896,-23.8,8.476,7.017822554722806
1450,-31.214575,276.9886206896552,-22.9,8.458,7.000477726315789
1460,-31.1644,277.09896551724137,-19.2,8.384,6.983073786610526
1470,-31.0824,277.61019230769233,-18.4,8.368,6.965610898638596
1480,-31.00336,278.16596153846154,-20.4,8.408,6.948089225431579
1490,-30.91178181818182,278.72173076923076,-16.9,8.338,6.930508930021053
1500,-30.737399999999997,279.27750000000003,-15.5,8.31,6.912870175438596
1510,-30.498088888888887,279.83326923076925,-14.4,8.288,6.895173124715789
1520,-30.463140425531915,279.797,-16.4,8.328,6.877417940884211
1530,-30.558374468085105,279.507,-17.5,8.35,6.859604786975439
1540,-30.653608510638296,279.217,-21.2,8.424,6.841733826021052
1550,-30.74884255319149,278.53181818181815,-23.5,8.47,6.823805221052631
